               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047053,            0.025597,           0.0087449,             0.96822,             0.96597,             0.97389,             0.53486,            0.045023,             0.01516,           0.0081155,            0.007624,            0.007624,            0.007624
                  38,            0.045558,            0.024442,           0.0085586,             0.95685,               0.957,             0.95679,             0.51385,            0.047096,            0.015407,           0.0081509,            0.007558,            0.007558,            0.007558
                  39,            0.044964,            0.025657,           0.0087683,             0.96794,              0.9647,             0.96605,             0.54493,            0.044601,            0.015409,           0.0080831,            0.007492,            0.007492,            0.007492
                  40,              0.0458,            0.026271,           0.0088106,             0.96208,             0.95869,             0.96059,             0.53157,            0.045513,            0.015259,           0.0080716,            0.007426,            0.007426,            0.007426
                  41,            0.045118,            0.023687,            0.008561,              0.9724,             0.96797,             0.97313,             0.52773,             0.04511,            0.015489,           0.0079763,             0.00736,             0.00736,             0.00736
                  42,            0.045134,            0.025425,           0.0084102,             0.96824,             0.96384,             0.96455,             0.52783,             0.04611,            0.015482,           0.0079915,            0.007294,            0.007294,            0.007294
                  43,            0.044094,            0.024303,           0.0081311,             0.96604,             0.96524,             0.96269,             0.51469,            0.046095,            0.015621,           0.0079302,            0.007228,            0.007228,            0.007228
                  44,            0.045299,            0.025004,           0.0083289,             0.96315,             0.96599,             0.96683,             0.53961,             0.04514,            0.015348,           0.0080151,            0.007162,            0.007162,            0.007162
                  45,            0.043527,            0.024041,           0.0080164,             0.96615,             0.96457,             0.96808,             0.55963,            0.044616,            0.015603,           0.0081659,            0.007096,            0.007096,            0.007096
                  46,            0.043487,            0.023244,            0.007908,             0.95926,             0.97155,             0.97086,             0.52428,            0.045541,            0.015548,           0.0080912,             0.00703,             0.00703,             0.00703
                  47,            0.042831,            0.023501,           0.0075754,             0.96442,             0.96888,              0.9652,             0.52639,            0.045793,             0.01536,           0.0082582,            0.006964,            0.006964,            0.006964
                  48,            0.045879,            0.025639,           0.0081544,             0.96768,             0.96412,             0.96669,             0.49911,             0.04759,            0.015482,           0.0081156,            0.006898,            0.006898,            0.006898
                  49,             0.04598,            0.024104,           0.0081365,             0.97499,             0.97239,              0.9736,             0.52414,            0.045702,            0.015598,           0.0080347,            0.006832,            0.006832,            0.006832
                  50,            0.045669,            0.024196,           0.0081529,             0.96806,             0.96624,             0.96602,             0.50683,            0.046297,            0.015775,           0.0080627,            0.006766,            0.006766,            0.006766
                  51,            0.043288,             0.02358,           0.0082069,              0.9726,              0.9719,             0.97169,             0.55034,            0.044438,            0.015514,           0.0080174,              0.0067,              0.0067,              0.0067
                  52,            0.042713,            0.023781,           0.0080155,             0.97255,             0.97469,             0.97319,             0.53628,             0.04528,            0.015504,           0.0079865,            0.006634,            0.006634,            0.006634
                  53,            0.042324,            0.024112,           0.0079135,              0.9697,             0.96431,             0.96449,             0.55814,            0.044316,            0.015441,           0.0079173,            0.006568,            0.006568,            0.006568
                  54,            0.043316,            0.024342,           0.0080124,             0.97208,             0.96776,             0.96849,             0.54139,            0.045078,            0.015577,           0.0079563,            0.006502,            0.006502,            0.006502
                  55,            0.043243,            0.024145,            0.007854,             0.97235,             0.97609,             0.97447,              0.5358,             0.04532,             0.01533,           0.0078907,            0.006436,            0.006436,            0.006436
                  56,            0.044696,            0.022353,           0.0082543,             0.96841,              0.9624,              0.9639,             0.51981,            0.047483,            0.015515,           0.0080918,             0.00637,             0.00637,             0.00637
                  57,            0.045398,            0.026778,           0.0081867,             0.97244,             0.96583,             0.97166,             0.56599,            0.043793,            0.015153,           0.0078066,            0.006304,            0.006304,            0.006304
                  58,            0.042626,            0.025694,           0.0081477,             0.96656,             0.96374,             0.96579,             0.55651,             0.04457,            0.015193,           0.0078613,            0.006238,            0.006238,            0.006238
                  59,            0.041411,             0.02283,           0.0075532,             0.96757,             0.97042,             0.97075,             0.54914,            0.044171,            0.015154,           0.0079178,            0.006172,            0.006172,            0.006172
                  60,            0.040912,            0.023431,           0.0077946,             0.96481,             0.97153,              0.9729,             0.56269,            0.043982,            0.015158,           0.0077918,            0.006106,            0.006106,            0.006106
                  61,            0.041095,             0.02334,           0.0074368,             0.95268,             0.95553,             0.95552,              0.5381,            0.045416,            0.015455,           0.0080915,             0.00604,             0.00604,             0.00604
                  62,            0.042188,            0.024217,            0.007378,             0.94841,             0.95854,             0.95293,              0.5046,             0.04672,            0.015283,           0.0079079,            0.005974,            0.005974,            0.005974
                  63,            0.041386,            0.023786,            0.007811,             0.95494,             0.97088,             0.95885,             0.54295,            0.044553,            0.015071,           0.0077113,            0.005908,            0.005908,            0.005908
